can,y,task,scaffold
CCCC[N+]12CCC(CC1)C(O)C2.[Br-],0,binary,C1C[NH+]2CCC1CC2
CCCCCC[N+]12CCC(CC1)C(O)C2.[Br-],0,binary,C1C[NH+]2CCC1CC2
CCCCCCCC[N+]12CCC(CC1)C(O)C2.[Br-],0,binary,C1C[NH+]2CCC1CC2
CCCCCCCCCC[N+]12CCC(CC1)C(O)C2.[Br-],0,binary,C1C[NH+]2CCC1CC2
CCCCCCCCCCCC[N+]12CCC(CC1)C(O)C2.[Br-],0,binary,C1C[NH+]2CCC1CC2
CCCCCCCCCCCCCC[N+]12CCC(CC1)C(O)C2.[Br-],1,binary,C1C[NH+]2CCC1CC2
CCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCC.[Cl-].[Cl-],0,binary,acyclic
CCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCC.[Cl-].[Cl-],0,binary,acyclic
CCCCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCCCC.[Cl-].[Cl-],0,binary,acyclic
CCCCCCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCCCCCC.[Cl-].[Cl-],0,binary,acyclic
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CC[N+](C)(C)CC(=O)OCCCCCCCCCCCCCC.[Cl-].[Cl-],0,binary,acyclic
CCCCCCCCCCOC(=O)C[N+](C)(C)CCC[N+](C)(C)CC(=O)OCCCCCCCCCC.[Cl-].[Cl-],0,binary,acyclic
CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCC[N+](C)(C)CC(=O)OCCCCCCCCCCCC.[Cl-].[Cl-],0,binary,acyclic
CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCC[N+](C)(C)CC(=O)OCCCCCCCCCCCC.[Br-].[Br-],0,binary,acyclic
CC1(C)[C@@H]2CC[C@H](CC[N+](C)(C)CC[C@H]3CC[C@@H]4C[C@H]3C4(C)C)[C@H]1C2.[Cl-],1,binary,C(CC1CCC2CC1C2)[NH2+]CCC1CCC2CC1C2
CC1(C)[C@@H]2CC[C@H](CC[N+](C)(C)CC[C@H]3CC[C@@H]4C[C@H]3C4(C)C)[C@H]1C2.[I-],0,binary,C(CC1CCC2CC1C2)[NH2+]CCC1CCC2CC1C2
CC1(C)[C@@H]2CC[C@H](CC[N+]3(CC[C@H]4CC[C@@H]5C[C@H]4C5(C)C)CCCCC3)[C@H]1C2.[I-],0,binary,C1CC[N+](CCC2CCC3CC2C3)(CCC2CCC3CC2C3)CC1
CC1(C)[C@@H]2CC[C@H](CC[N+]3(CC[C@H]4CC[C@@H]5C[C@H]4C5(C)C)CCOCC3)[C@H]1C2.[Cl-],0,binary,C1C[N+](CCC2CCC3CC2C3)(CCC2CCC3CC2C3)CCO1
CC1(C)[C@@H]2CC[C@H](CC[N+]3(CC[C@H]4CC[C@@H]5C[C@H]4C5(C)C)CCOCC3)[C@H]1C2.[Br-],0,binary,C1C[N+](CCC2CCC3CC2C3)(CCC2CCC3CC2C3)CCO1
CC1(C)[C@@H]2CC[C@H](CC[N+]3(CC[C@H]4CC[C@@H]5C[C@H]4C5(C)C)CCOCC3)[C@H]1C2.[I-],0,binary,C1C[N+](CCC2CCC3CC2C3)(CCC2CCC3CC2C3)CCO1
CCCCCCNC(=O)C[N+](C)(C)CC(=O)NCCNC(=O)C[N+](C)(C)CC(=O)NCCCCCC.[Br-].[Br-],0,binary,acyclic
