can,y,task,scaffold
CCCCCCCCC1(C)OCc2c(C[N+](C)(C)CCCCCCCC)cnc(C[N+](C)(C)CCCCCCCC)c2O1.[Cl-].[Cl-],3.5671966259584122,reg,c1cc2c(cn1)OCOC2
CCCCCCCCC1OCc2c(C[N+](C)(C)CCCCCCCC)cnc(C[N+](C)(C)CCCCCCCC)c2O1.[Cl-].[Cl-],3.59749609912741,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCC(C)C1OCc2c(CO)c(C[N+](C)(C/C=C/C#CC(C)(C)C)Cc3cccc4ccccc34)nc(C)c2O1.[Br-],5.474233785274137,reg,c1ccc2c(C[NH2+]Cc3cc4c(cn3)OCOC4)cccc2c1
CCCCCCCCCC(C)C1OCc2c(C[N+](C)(C)CCCCCCCC)cnc(C[N+](C)(C)CCCCCCCC)c2O1.[Cl-].[Cl-],2.508442397874339,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCC(C)C1OCc2nc(C[N+](C)(C/C=C/C#CC(C)(C)C)Cc3cccc4ccccc34)c3c(c2CO1)COC(C(C)CCCCCCCCC)O3.[Br-],6.148551170312877,reg,c1ccc2c(C[NH2+]Cc3nc4c(c5c3OCOC5)COCOC4)cccc2c1
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],4.965279993097919,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],2.9263003961348044,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],4.005342079125866,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],1.9652799930979188,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCC(=O)OCCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],1.9625109416866846,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCC(=O)OCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],1.9236050900331199,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],5.9731456359653885,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCC[N+](C)(C)C.[Br-],5.448571592611532,reg,acyclic
CCCCCCCCCCCC(=O)OCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],3.0024951334473595,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCC(=O)OCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],1.9625109416866846,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCC(=O)OCC[N+](CC)(CC)CC.[Br-],5.791715630934309,reg,acyclic
CCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC.[Br-],5.504324535693714,reg,acyclic
CCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],5.015786269507823,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OC[n+]1ccccc1.[Cl-],7.752545982246033,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],1.8883463256768571,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],1.8513652003491095,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCCCC)O2.[Cl-],1.7801307904066195,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCCCCCCC)O2.[Cl-],6.679469110268667,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1nc(C)c2c(c1CO)COC(C)(C)O2.[Cl-],1.8103107841208268,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1nc(C)c2c(c1CO)COC(CCC)O2.[Cl-],1.7752533734164038,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],2.9263003961348044,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],1.8883463256768571,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1nc(C)c2c(c1CO)COC(C)(C)O2.[Cl-],1.846241349639453,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)NCC[N+](C)(C)Cc1nc(C)c2c(c1CO)COC(CCC)O2.[Cl-],2.810310784120827,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)OCCC[N+](C)(C)Cc1cnc(C)c2c1COC(C)(C)O2.[Cl-],1.8857209388129244,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)OCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCC)O2.[Cl-],1.8488061968801022,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)OCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCCCC)O2.[Cl-],3.777694967409828,reg,c1cc2c(cn1)OCOC2
CCCCCCCCCCCCCC(=O)OCCC[N+](C)(C)Cc1cnc(C)c2c1COC(CCCCCCCC)O2.[Cl-],6.677197319987259,reg,c1cc2c(cn1)OCOC2
